epoch,loss,lr,val_loss
0,-10.66014575958252,0.001,-11.592609405517578
1,-12.01039981842041,0.001,-12.267757415771484
2,-12.513603210449219,0.001,-12.554961204528809
3,-12.816861152648926,0.001,-12.880939483642578
4,-13.024872779846191,0.001,-12.9885892868042
5,-13.185284614562988,0.001,-13.156937599182129
6,-13.325976371765137,0.001,-13.2482271194458
7,-13.44835376739502,0.001,-13.350546836853027
8,-13.535307884216309,0.001,-13.389918327331543
9,-13.625338554382324,0.001,-13.455171585083008
10,-13.695358276367188,0.001,-13.538311004638672
11,-13.773792266845703,0.001,-13.605997085571289
12,-13.83403491973877,0.001,-13.622130393981934
13,-13.892813682556152,0.001,-13.691311836242676
14,-13.941056251525879,0.001,-13.647208213806152
15,-13.987431526184082,0.001,-13.748116493225098
16,-14.038328170776367,0.001,-13.759130477905273
17,-14.073217391967773,0.001,-13.806645393371582
18,-14.091510772705078,0.001,-13.769583702087402
19,-14.139897346496582,0.001,-13.84203815460205
20,-14.186427116394043,0.001,-13.870844841003418
21,-14.20438003540039,0.001,-13.871191024780273
22,-14.228593826293945,0.001,-13.885228157043457
23,-14.260613441467285,0.001,-13.865087509155273
24,-14.269010543823242,0.001,-13.915904998779297
25,-14.292283058166504,0.001,-13.960919380187988
26,-14.332111358642578,0.001,-13.957550048828125
27,-14.3431396484375,0.001,-13.964456558227539
28,-14.35400390625,0.001,-13.989060401916504
29,-14.385371208190918,0.001,-14.010673522949219
30,-14.408300399780273,0.001,-14.026159286499023
31,-14.407327651977539,0.001,-13.995165824890137
32,-14.430887222290039,0.001,-14.048466682434082
33,-14.424874305725098,0.001,-13.996070861816406
34,-14.451683044433594,0.001,-14.065309524536133
35,-14.463915824890137,0.001,-14.076826095581055
36,-14.478276252746582,0.001,-14.069976806640625
37,-14.491386413574219,0.001,-14.077316284179688
38,-14.499719619750977,0.001,-14.05781078338623
39,-14.51334285736084,0.001,-14.091276168823242
40,-14.525752067565918,0.001,-14.054512023925781
41,-14.530856132507324,0.001,-14.067907333374023
42,-14.529831886291504,0.001,-14.02781867980957
43,-14.61531925201416,0.0005,-14.146387100219727
44,-14.655132293701172,0.0005,-14.165395736694336
45,-14.664331436157227,0.0005,-14.169039726257324
46,-14.674861907958984,0.0005,-14.148372650146484
47,-14.680398941040039,0.0005,-14.178406715393066
48,-14.69698429107666,0.0005,-14.169797897338867
49,-14.698634147644043,0.0005,-14.149895668029785
50,-14.709097862243652,0.0005,-14.16869831085205
51,-14.747662544250488,0.00025,-14.208826065063477
